Date,Open,High,Low,Close,Volume
2024-09-10,4.286,4.289,4.197,4.251,1848659.47
2024-09-11,4.25,4.257,4.058,4.191,2947171.99
2024-09-12,4.192,4.3,4.189,4.294,2205112.48
2024-09-13,4.294,4.472,4.27,4.42,3251739.87
2024-09-14,4.42,4.445,4.344,4.437,1857961.23
2024-09-15,4.437,4.558,4.355,4.393,2920077.53
2024-09-16,4.393,4.393,4.148,4.196,3152928.3
2024-09-17,4.195,4.288,4.127,4.157,3322360.31
2024-09-18,4.158,4.178,3.973,4.176,4814848.56
2024-09-19,4.177,4.352,4.177,4.255,4658192.56
2024-09-20,4.255,4.404,4.19,4.34,4540903.46
2024-09-21,4.339,4.477,4.282,4.462,2465166.54
2024-09-22,4.46,4.483,4.234,4.311,2410272.28
2024-09-23,4.31,4.462,4.233,4.458,3549403.67
2024-09-24,4.458,4.684,4.401,4.635,4816662.23
2024-09-25,4.636,4.773,4.59,4.637,3965799.79
2024-09-26,4.637,4.878,4.564,4.814,3813731.87
2024-09-27,4.814,4.964,4.809,4.882,4302233.12
2024-09-28,4.883,4.93,4.746,4.794,2346081.15
2024-09-29,4.794,4.858,4.682,4.767,2288995.53
2024-09-30,4.767,4.771,4.399,4.432,4303691.53
2024-10-01,4.432,4.563,4.051,4.154,8519076.94
2024-10-02,4.154,4.27,4.004,4.102,4868593.35
2024-10-03,4.102,4.173,3.989,4.129,4867140.66
2024-10-04,4.129,4.212,4.106,4.194,3025511.57
2024-10-05,4.194,4.234,4.075,4.139,1785207.19
2024-10-06,4.139,4.195,4.097,4.191,1577602.61
2024-10-07,4.19,4.272,4.126,4.131,3779052.3
2024-10-08,4.13,4.184,4.045,4.104,3238080.04
2024-10-09,4.105,4.15,3.951,4.024,3076173.21
2024-10-10,4.024,4.077,3.962,4.073,2490257.83
2024-10-11,4.073,4.196,4.053,4.171,2347729.65
2024-10-12,4.172,4.263,4.152,4.205,2311858.57
2024-10-13,4.205,4.216,4.086,4.162,1965193.65
2024-10-14,4.163,4.4,4.134,4.378,4101366.34
